গাজীপুরের,গাকীপুরের
কারাদণ্ড,কারাডণ্দ
ভ্রাম্যমাণ,বংরাম্যমাণ
আদালত,আফালত
সাতটার,সাতটার
প্রশাসনের,পংরশাসনের
আদালতের,আদালরের
বিচারক,বঅচারক
আহম্মেদ,আহমেদ
দণ্ড,দণ্দ
মুস্তাফিজুর,নুস্তাফিজুর
মিরপুর,মি েপুর
উজ্জ্বল,উজ্জ্বল
মিয়া,মঅয়া
নয়টার,বয়টার
কার্যালয়ে,কােরালয়ে
গিয়ে,গিুে
নাম,ণান
পরিচয়,পরিচয়
চান,চান
একপর্যায়ে,একপেরায়ে
দায়িত্বরত,দাুিত্বরত
সদস্যরা,সসস্যরা
গোয়েন্দা,গোয়েণ্দা
পুলিশকে,পুলিশকে
উপপরিদর্শক,উপপরিদরংসক
মনির,মবির
সামনে,সামনে
আদালতে,আদাকতে
হাজির,হাজিএ
সরকারি,দরকারি
কর্মকর্তাকে,যর্মকর্তাকে
ধারায়,ধারায়
যুবকের,যুবকের
প্রত্যেককে,পংরত্যোককে
আপনারা,সপনারা
দিচ্ছেন,দ◌ীছছেন
এটা,এরা
সঠিক,সঠঅক
অন্যায়, িন্যায়
আঙুল,আঙুক
চিহ্ন,চিন্ন
দেখিয়ে,ডেক◌ীয়ে
আমার,আমসর
কিছুই,ক◌ীছুঅ
টক,তল
যাঁরা,জাঁরা
জানুয়ারির,জাবুয়ারির
নির্বাচনকে,বির্বাচনকে
আখ্যায়িত,আখাায়িত
কথায়,কথায়
বিভ্রান্ত,বিবংরান্ত
জানিয়েছেন,জসনিয়েছেন
বস্ত্র,ভস্ত্র
আব্দুল,আদ◌ূল
লতিফ,লতিগ
সিদ্দিকী,সঅদ্দিকী
নেত্রকোনার,নেতংরকপনার
মিনারে,মিণারর
আয়োজিত,আয়োজির
জনসভায়,জবসভায়
নেত্রকোনা,ণেতংরকোনা
আরিফ,আরিফ
নৌকা,নৌযা
চ্যানেলের,েচানেলের
কেউ,কেঊ
হবেন,হবেন
আবারও,আবারও
সরকার,সরলার
গঠন,গঠণ
উন্নয়ন,ঊহ্নয়ন
হাসিনার,হাসউনার
নেতৃত্বে,বেতৃত্বে
ঘুরে,ঘুরে
দাঁড়িয়েছে,দাঁড়অয়েছে
সভাপতিমণ্ডলীর,সচাপতিমণ্ডলীর
সদস্য,সসস্য
বিচার,ব◌ীছসর
দেশে,দেসে
তত্ত্বাবধায়ক,রত্ত্বাবধায়ক
নামে,ণামে
বিএনপি,বিওনপি
শিবির,শিবির
চালাচ্ছে,ছালাছছে
অবরোধ,ইবরোধ
পুড়িয়ে,পুএিয়ে
এদের,এফের
হাতে,হাতে
নিরাপদ,নঅরাপদ
সভাপতিত্ব,স‍বাপতিত্ব
অন্যদের,অেনফের
আব্দুর,আদুর
রাজ্জাক,রাজ্জাক
সাংগঠনিক, াাংগঠনিক
আহমদ,আহনদ
ময়মনসিংহ,ময়মনসিমহ
আশরাফ,আশরাফ
উপজেলা,উপহেলা
পরিষদের,পর◌ীষসের
চেয়ারম্যান,চেয়সরম্যান
উদ্দিন,উড্ডঅন
নজরুল,ণজর◌ূক
ফয়সাল,ফয় াাল
তখনো,তকজনো
হয়তো,হয়ত ি
ঘুম,ঘ◌ূম
কথাটি,যথাটি
বিখ্যাত,বিখাাত
নেই,ণরই
বয়ে,বয়ে
তাঁরই,তাঁরঈ
একজনের,এলজনের
করলেন,কতলেন
হিসাব,হিসাব
পাল্টে,পাল্তে
বলেই,বকেই
লালন,লসলন
সেটিই,সেরিই
তরুণ,ররুণ
তুর্কি,রুর্কি
দিলেন,ফিলেন
অভিনন্দন,ও‍বিনন্দন
জানিয়ে,জানিয়ে
বলছেন,বলছেব
ওর,ওর
আমাকে,আমাকে
ভাঙার,ভাঙার
নেতিবাচক,বেতিবাচক
দিয়েই,সিয়েই
বললেন,বকলেন
আমি,আমঅ
বলব,বলব
বড়,বড়
হলে,গলে
অবিশ্বাস্য,অবিশাস্য
জানতাম,জাণতান
একদিন,একদ◌ীন
অক্টোবর,অক্টোবর
জন্যই,জেনঈ
স্মরণীয়,সরবীয়
কি,কি
করেছিলেন,কতেছিলেন
সেদিন,সেডিন
প্রথমবারের,পংরথমবসরের
ব্যাট,েবসট
ঘটিয়ে,ঘটউয়ে
ফেলেন,ফেকেন
অনেকের,ওনেকের
অন্য,অনা
টোয়েন্টি,রোয়েন্টি
সত্য,সেত
প্রমাণ,পংরমাণ
নিয়েও,নিতেও
অনুভব,অন◌ূভন
পাকিস্তানের, োাকিস্তানের
অবসর,পবসর
নেয়ার,নেয়ার
সময়ই,সময়ঈ
এসেছে,এসেছে
পাকিস্তান, োাকিস্তান
ব্যাপার,েবাপার
যখনই,যখনই
আসত,আসত
তখনই,তখণই
উল্লেখ,ইল্লেখ
হতো,হরো
প্রভাবে,পংরভাভে
ভবিষ্যতে,‍ববিষ্যতে
প্রত্যাশা,পংরত্যাশা
যেটি,যেটি
ক্রিস,কংরি া
গেইল,গেউল
কিংবা,ক◌ীংবা
ডেভিড,ডেবিস
তাহলে,তাহকে
গেল,গেক
যুক্তি,য◌ূক্তি
যেভাবে,জে‍বাবে
চালায়,চজালায়
ওয়ার্নার,পয়ার্নার
যোগ্য,যোজ্ঞ
মৌসুম,মৌস◌ূম
টুর্নামেন্ট,রুর্নামেন্ট
কাপের,কাপরর
সেমিফাইনালে,সেমিফাউনালে
নিয়েছিল,ণ◌ীয়েছিল
আবাহনী,সবাহনী
লিগ,কিগ
করল,কতল
পেশাদার,পোশাদার
লিগের,লিফের
বঙ্গবন্ধু,বংগবন্ধু
স্টেডিয়ামে,স্তেডিয়ামে
হারিয়েছে,হসরিয়েছে
প্রথমার্ধে,পংরথমসর্ধে
আবাহনীর,সবাহনীর
পেয়েছিল, োেয়েছিল
ফরোয়ার্ড,ফরোতার্ড
বক্সের,বক্সের
গোলরক্ষক,গোলরক্কক
বেরিয়ে,বেরিয়ো
যাওয়া,জাওয়স
থেকেও,থরকেও
পারেননি,পারোননি
ব্রাজিলিয়ান,রসজিলিয়ান
ক্রস,কংরস
দারুণ,দারুণ
পেয়েছিলেন, োেয়েছিলেন
রুবেল,র◌ূনেল
ফাঁকা,ফাঁকা
পোস্টে,পোস্তে
মুহূর্তে,ম◌ূহূরংতে
ডিফেন্ডার,ড◌ীফেণ্দার
হওয়া,হওয়স
আরেকবার,আরেকভার
নষ্ট,নষ্ত
ব্রাদার্স,রাদার্স
এবার,এবসর
দুর্দান্ত,দুর্দান্ত
শট,সগট
বিকেল,বউকেল
পাঁচটায়,পাঁচটায়
প্রতিপক্ষ,পংরতিপক্ষ
ফেনী,ফেনী
উপলক্ষে,ঊপলক্কে
জনপ্রশাসন,জনপংরশাসন
পত্র,ওত্র
ছুটি,ছুটি
কর্মচারীদের,করভহারীদের
শাখা,শসখা
থাকলেও,তজাকলেও
মানুষের,মামুষের
ব্যয়,বায়
বেড়েছে,বেএেছে
শতাংশ,শরাংশ
এটি,ওটি
ব্যয়ের,বায়রর
দ্বিগুণ,দঅগুণ
দশমিক,ফশমিক
অ্যাসোসিয়েশন,েঅাসোসিয়েশন
বার্ষিক,বসর্ষিক
প্রতিবেদনের,পংরতিবেদনের
গণমাধ্যমে,গণমাধামে
