গাজীপুরের,গাজীপ◌ূরের
প্রশাসনের,পংরসাসনের
আদালতের,সদালতের
বিচারক,বিছারক
আহম্মেদ,আযম্মেদ
দণ্ড,দণ্দ
মুস্তাফিজুর,মুস্তাফিজুর
মিরপুর,মিরপুর
উজ্জ্বল,উজ্জ্ভল
মিয়া,মিয়া
নয়টার,নতটার
কার্যালয়ে,কােরালয়ে
গিয়ে,গিয়ে
নাম,নসম
পরিচয়,পরিচয়
চান,চগান
একপর্যায়ে,একপেরায়ে
দায়িত্বরত,সায়িত্বরত
সদস্যরা,সফস্যরা
গোয়েন্দা,গ িয়েন্দা
পুলিশকে, োুলিশকে
উপপরিদর্শক,ইপপরিদর্শক
মনির,মণঅর
সামনে,সামণে
আদালতে,আদালতো
হাজির,হাজ◌ীর
সরকারি,সরকার◌ী
কর্মকর্তাকে,করকর্তাকে
ধারায়,ধারায়
যুবকের,কুবকের
প্রত্যেককে,পংরতারককে
আপনারা,আপনাএা
দিচ্ছেন,ডউচ্ছেন
এটা,এটা
সঠিক,আঠিক
অন্যায়,ওেনায়
আঙুল,আ◌ং◌ূক
চিহ্ন,চিন্ন
দেখিয়ে,দেকগিয়ে
আমার,আমার
কিছুই,ক◌ীছ◌ূই
টক,রক
যাঁরা,যসঁরা
জানুয়ারির,কানুয়ারির
নির্বাচনকে,নউর্বাচনকে
আখ্যায়িত,আেখায়িত
কথায়,লথায়
বিভ্রান্ত,ব◌ীবংরান্ত
জানিয়েছেন,কানিয়েছেন
বস্ত্র,বস্ত্র
আব্দুল,আদুল
লতিফ,কতিফ
সিদ্দিকী,সিড্ডিকী
নেত্রকোনার,নেতংরকোনার
মিনারে,নিনারে
আয়োজিত,আয়োজ◌ীত
জনসভায়,জণসভসয়
নেত্রকোনা,নরত্রকোনা
আরিফ,আএিফ
নৌকা,বৌকা
চ্যানেলের,চাাবেলের
কেউ,কেউ
হবেন,হবেন
আবারও,আভারও
সরকার,আরকার
গঠন,গঠন
উন্নয়ন,উহ্নয়ম
হাসিনার,হসসিনার
নেতৃত্বে,ণরতৃত্বে
ঘুরে,ঘুরে
দাঁড়িয়েছে,ডাঁড়িয়েছে
সভাপতিমণ্ডলীর,সভাপতঅমণ্ডলীর
সদস্য,সদসা
বিচার,ব◌ীভার
দেশে,ফেশে
তত্ত্বাবধায়ক,তত্ত্বাবধায়ক
নামে,মামে
বিএনপি,ব◌ীএণওি
শিবির,শঅবির
চালাচ্ছে,চজালাচ্ছে
অবরোধ,ওবরোধ
পুড়িয়ে,ওুড়িয়ে
এদের,এডোর
হাতে,হারে
নিরাপদ,ণিতাপদ
সভাপতিত্ব,আভাপতিত্ব
অন্যদের,অেনডের
আব্দুর,আদুর
রাজ্জাক,রাজ্জাক
সাংগঠনিক,সাংগঠণিক
আহমদ,আহমদ
ময়মনসিংহ,ময়মণসঅংহ
আশরাফ,সশরাফ
উপজেলা,ইপজেলা
পরিষদের,পর◌ীআহদের
চেয়ারম্যান,চগেয়ারম্যান
উদ্দিন,উড্ড◌ীন
নজরুল,নজরুল
ফয়সাল,ফয়সাল
তখনো,তখনো
হয়তো,হয়তো
ঘুম,ঘুম
কথাটি,কথাটি
বিখ্যাত,বিখাাত
নেই,নেই
বয়ে,বয়ে
তাঁরই,তাঁরই
একজনের,একজমের
করলেন,যরলেন
হিসাব,হউসাব
পাল্টে,পাল্তে
বলেই,বকেই
লালন,লালম
সেটিই,সোটিই
তরুণ,তর◌ূণ
তুর্কি,তুরংকি
দিলেন,দঅলেন
অভিনন্দন,ওভঅনন্দন
জানিয়ে,হানিয়ে
বলছেন,বকছেন
ওর,ওর
আমাকে,আমালে
ভাঙার,ভামার
নেতিবাচক,নেরিবাচক
দিয়েই,ডিয়রই
বললেন,বললেন
আমি,সমি
বলব,বলব
বড়,বড়
হলে,গলে
অবিশ্বাস্য, িবিশ্বাস্য
জানতাম,জামতাম
একদিন,একদ◌ীণ
অক্টোবর,অক্টোবর
জন্যই,কন্যই
স্মরণীয়,সরণীয়
কি,কি
করেছিলেন,করোছিলেন
সেদিন,সোদিন
প্রথমবারের,পংররহমবারের
ব্যাট,বাাট
ঘটিয়ে,ঘটিয়ে
ফেলেন,ফেলেম
অনেকের,অনেলের
অন্য,অনা
টোয়েন্টি,টোয়েণ্টি
সত্য, াত্য
প্রমাণ,পংরমাণ
নিয়েও,নিয়েই
অনুভব, িনুভব
পাকিস্তানের, োাকিস্তানের
অবসর,ওবসর
নেয়ার,বেয়ার
সময়ই, াময়ই
এসেছে,এসেছে
পাকিস্তান,পালিস্তান
ব্যাপার,বাাপার
যখনই,যখনউ
আসত,আসর
তখনই,তখনঈ
উল্লেখ,ইল্লেখ
হতো,হতো
প্রভাবে,পংরচাবে
ভবিষ্যতে,‍ববিষ্যতে
প্রত্যাশা,পংরত্যাশা
যেটি,যেটি
ক্রিস,কংর◌ীস
গেইল,গেঈল
কিংবা,কিংবা
ডেভিড,দেভ◌ীদ
তাহলে,তাগলে
গেল,গরল
যুক্তি,কুক্তি
যেভাবে,যেভাবে
চালায়,চগালায়
ওয়ার্নার,ওয়ারংণার
যোগ্য,যপগ্য
মৌসুম,মসুম
টুর্নামেন্ট,তুরংণামেন্ট
কাপের,কাপেত
সেমিফাইনালে,আেমিফাইনালে
নিয়েছিল,নঅয়েছিল
আবাহনী,সবাহনী
লিগ,লিগ
করল,করল
পেশাদার,পেশাডার
লিগের,লিফের
বঙ্গবন্ধু,বংগবন্ধু
স্টেডিয়ামে,স্তোডিয়ামে
হারিয়েছে,হারিয়েছে
প্রথমার্ধে,পংরথমার্ধে
আবাহনীর,আবাহনীর
পেয়েছিল,পেয়েছঅল
ফরোয়ার্ড,ফ েোয়ার্ড
বক্সের,বক্সোর
গোলরক্ষক,গোলরক্কয
বেরিয়ে,বোরিয়ে
যাওয়া,কাওয়া
থেকেও,টেলেও
পারেননি,পারেণবি
ব্রাজিলিয়ান,রাজ◌ীলিয়ান
ক্রস,কংরস
দারুণ,দসরুণ
পেয়েছিলেন,ওেয়েছিলেন
রুবেল,রুবেল
ফাঁকা,ফাঁলা
পোস্টে,পোস্তে
মুহূর্তে,মুহূরংতে
ডিফেন্ডার,ডিদেন্ডার
হওয়া,হপয়া
আরেকবার,আরেকবার
নষ্ট,নষ্ত
ব্রাদার্স,রাডার্স
এবার,এবসর
দুর্দান্ত,ড◌ূরংডান্ত
শট,সগট
বিকেল,বউকেল
পাঁচটায়,পাঁচরায়
প্রতিপক্ষ,পংরতি োক্ষ
ফেনী,ফেনী
উপলক্ষে,উপলক্কে
জনপ্রশাসন,জবপ্রশাসন
পত্র,পতংর
ছুটি,ছুটি
কর্মচারীদের,করচারীদের
শাখা,শাঝা
থাকলেও,থাকলেও
মানুষের,মান◌ূষেত
ব্যয়,বায়
বেড়েছে,বেড়েছে
শতাংশ,শতাবশ
এটি,এটি
ব্যয়ের,বায়ের
দ্বিগুণ,দিফুণ
দশমিক,দশম◌ীক
অ্যাসোসিয়েশন,অাাসোসিয়েশন
বার্ষিক,বসর্ষিক
প্রতিবেদনের,পংরতিবেদনের
গণমাধ্যমে,গণমােধমে
প্রকাশের,পংরকসশের
